file,NUM_TREES,N_ceu,N_nea,N_yri,m1,t1,t2,t3,t4
ntree_10_rep_10_simulate_ARG.log,10,10000.085909219259,10000.04058948467,10000.262736028333,0.10525377262484638,9.419567785237952,48.684975209993425,87.40716103778632,296.19512352612355
ntree_10_rep_11_simulate_ARG.log,10,10000.062048963298,9999.853494471432,9999.987175414502,0.08520460007915527,10.182839823284638,52.07566086759604,98.61765529469776,294.93887473888765
ntree_10_rep_12_simulate_ARG.log,10,10000.02395116895,9999.899017432148,10000.075638717695,0.09190244083224611,9.644476905191661,51.12995365764069,94.93508520198074,320.6474089471234
ntree_10_rep_13_simulate_ARG.log,10,10000.121323575184,10000.023997133942,9999.950924621386,0.09026842620933699,8.626502920043123,39.818637587097896,90.8350082943911,297.06466422572674
ntree_10_rep_14_simulate_ARG.log,10,9999.989138053872,9999.965586825796,9999.917540790817,0.09674767757573015,8.760187594711981,46.17503340094052,93.86998099534442,294.481738584834
ntree_10_rep_15_simulate_ARG.log,10,10000.027561574887,9999.96914086787,9999.963845310675,0.0994846325651765,8.36549488653065,48.75531591901975,92.3000631998633,316.2123157091279
ntree_10_rep_16_simulate_ARG.log,10,10000.018937473506,10000.083403992354,9999.917592210064,0.09430707073873879,10.2023921127977,45.993110109604814,94.38141912888261,291.60116090070125
ntree_10_rep_17_simulate_ARG.log,10,10000.18757767413,10000.029980432306,9999.9459702828,0.10282108638160295,9.429842362280958,48.186002972476665,98.44762145475289,314.6985330966991
ntree_10_rep_18_simulate_ARG.log,10,9999.99324234238,10000.051250209941,9999.883197422352,0.09394923279477342,9.300125582645602,46.313859090132055,93.28663973852676,284.1924806265582
ntree_10_rep_19_simulate_ARG.log,10,9999.985343731261,10000.008718406601,10000.066674257387,0.10386333943360988,9.930648650505303,47.93048336598777,97.59843689805413,301.10450797653425
ntree_10_rep_1_simulate_ARG.log,10,10000.004914088247,9999.940961621865,10000.026591818181,0.07462028969000772,9.662758395389691,47.54378065650624,93.90092748658873,281.44081783049194
ntree_10_rep_20_simulate_ARG.log,10,9999.915158774591,9999.941759568685,10000.101538802668,0.09250432124535488,8.947394760807104,43.23582772519889,80.85229905823186,298.9522718739023
ntree_10_rep_2_simulate_ARG.log,10,9999.911510197995,9999.908373978476,10000.016664485278,0.11528763046151888,9.949397147249144,44.996428256024394,91.84328426015153,280.43047767400526
ntree_10_rep_3_simulate_ARG.log,10,9999.969433434351,9999.913725245093,10000.106710927603,0.10142374971941656,9.414738579402494,45.062933288239584,91.741357233342,272.4929073958889
ntree_10_rep_4_simulate_ARG.log,10,9999.94068928888,9999.939466989325,9999.873175608034,0.0851243665687644,10.176455424641002,51.292757450258264,93.8445585569711,281.4992676349078
ntree_10_rep_5_simulate_ARG.log,10,10000.001725100483,10000.058516376997,10000.028625740764,0.07028294132127064,9.53453123022413,46.811527519971555,89.80418868254247,287.84219970233335
ntree_10_rep_6_simulate_ARG.log,10,10000.123661129983,9999.99910394969,10000.056791945537,0.10559347542496009,9.6604128511464,43.93494317922348,89.52276357975856,276.9808575960569
ntree_10_rep_7_simulate_ARG.log,10,10000.003781269243,9999.936245128854,10000.042486389983,0.08636432709554763,9.28915086234895,43.062062309943926,94.98640540550247,281.2687648334407
ntree_10_rep_8_simulate_ARG.log,10,10000.002126601787,9999.932623277047,9999.854024286631,0.09776070230787505,8.631753697999091,47.446461439166725,95.19083363416917,274.7690893649521
ntree_10_rep_9_simulate_ARG.log,10,9999.925917108607,10000.002237605031,10000.043771253042,0.11119120795854168,8.331360339581579,45.37999113714197,93.39783394874047,301.568221472674
