file,NUM_TREES,N_aa,N_admix,N_afr,N_anc,N_asia,N_eur,N_ooa,N_pol,gr,r1,r2,r3,t1,t2,t3,t4
ntree_10_rep_10_simulate_ARG.log,10,9999.933472341438,10000.110621033518,9999.989769498892,9999.96371389354,10000.06291223912,9999.98110983219,10000.009781880186,10000.072603882398,0.26356330807417966,0.3226399638071089,0.28045081819251594,0.1725823696384273,10.508487628952532,104.5197740860587,1029.6257005106856,2039.7300266539069
ntree_10_rep_11_simulate_ARG.log,10,9999.996578085218,9999.915097067553,10000.03277049147,9999.908309584338,10000.036516914613,10000.029074824806,9999.96375725897,10000.029704463315,0.2904086879085548,0.3037059537318938,0.33954047763245876,0.22786095503699286,9.94336344738442,99.55976381810214,942.1394961932195,1883.6148881493236
ntree_10_rep_12_simulate_ARG.log,10,9999.990207343597,10000.082859367334,9999.81775098172,10000.126257640193,9999.919671753818,9999.975469916972,10000.012477277385,10000.189716633795,0.253562193408264,0.29949879313471,0.3364770304635777,0.23819955295875,10.601000270168914,107.4771250292635,1002.1836272481578,1937.6547980513003
ntree_10_rep_13_simulate_ARG.log,10,10000.019704050295,10000.041489105999,9999.945243381444,9999.933824338017,9999.97919509373,10000.04332837971,9999.927932129318,9999.989015489564,0.33287610098534337,0.3456733062828186,0.2899681738919611,0.22688268053242436,9.939243869814463,100.13913519062925,955.8569171873812,1942.665348099909
ntree_10_rep_14_simulate_ARG.log,10,9999.86246349125,10000.083935401475,10000.08251317071,10000.182544877018,10000.083430038854,9999.987765919337,10000.023810543607,10000.089361268094,0.3100341474976287,0.25560657980342405,0.2875381054155176,0.23975841887387628,9.807560414885272,96.33938981440652,825.6820270104821,1831.7181543525508
ntree_10_rep_15_simulate_ARG.log,10,9999.988586917183,10000.044367651104,9999.984643359141,9999.953473602758,9999.895295318414,9999.935393784073,10000.006161083078,10000.013816614353,0.2888354263217353,0.26548369876861727,0.32426456098628625,0.19391393741709412,9.101798603055787,103.1967213964452,990.2345973255183,1921.768808339214
ntree_10_rep_16_simulate_ARG.log,10,9999.839558462172,9999.95645066035,10000.096969111355,10000.086069536614,10000.124744594481,10000.05025982058,10000.051827232866,9999.964092260207,0.2989682728583803,0.25201616472615934,0.2975395885875371,0.22679109115952462,9.519744882885309,104.86304207370749,1037.9308699994178,2012.2378362217642
ntree_10_rep_17_simulate_ARG.log,10,9999.994638566985,9999.927514165143,10000.10024170718,10000.072113212742,9999.97289230605,9999.983550076968,10000.129593188758,9999.993090757049,0.3055555591734064,0.2692525117202217,0.35140153165253396,0.16457252233228795,9.454398606211385,104.96008996401703,1033.058083250244,2019.017782106516
ntree_10_rep_18_simulate_ARG.log,10,10000.059148030818,9999.949461674089,9999.981214819029,10000.030887460347,10000.037077084404,9999.93239067006,10000.031041696842,10000.078547193189,0.3007713073529442,0.2954367784254349,0.3065160623202069,0.16796485053231502,9.963252413832766,109.79988716761767,970.1297863878865,2004.191027473861
ntree_10_rep_19_simulate_ARG.log,10,9999.987623960276,10000.090243748913,10000.078905254142,9999.983674299974,9999.980330044642,9999.951532237266,9999.897321128332,9999.912130893574,0.3454736194404803,0.316376346748497,0.29793993092997967,0.2128089455282443,10.7937223245819,102.73028463704475,999.975882120535,2021.433774844314
ntree_10_rep_1_simulate_ARG.log,10,9999.945740938396,9999.927363823059,9999.954953631335,9999.880742310499,9999.969450029786,10000.034198616058,10000.089594002133,9999.932426437914,0.3004870583373024,0.2791566594167823,0.33934166961875745,0.1751726727918287,10.27399037940898,94.17340354763124,1024.572193679044,2054.4356142763318
ntree_10_rep_20_simulate_ARG.log,10,10000.08104777879,9999.784297643548,10000.017996229031,9999.796120730143,10000.111036502216,10000.101322370943,9999.967824069934,9999.979545326385,0.3126190894473985,0.32286579629709916,0.3121725180945662,0.20265353757441154,10.25924679532508,103.73611863965476,982.8302596309072,2101.7599747854856
ntree_10_rep_2_simulate_ARG.log,10,9999.960903912126,10000.062040390276,9999.976535674587,10000.180175242665,9999.922507548652,10000.016911613859,10000.086001440992,10000.036852296234,0.3870421299682852,0.240960093037681,0.3583943891848178,0.21870384519504535,10.867606714632478,98.66368290244921,1027.4052072641905,1889.5968782499904
ntree_10_rep_3_simulate_ARG.log,10,10000.017877028042,9999.979982203447,10000.082457048622,9999.999286930499,9999.99101282744,9999.993278118982,9999.968535657672,10000.02721428891,0.28420627691049777,0.29170614503129044,0.3094233690472016,0.18490965570662893,10.453618584013702,99.64403868064667,1020.916319278471,2040.2269468790723
ntree_10_rep_4_simulate_ARG.log,10,10000.001638266183,10000.010494454093,9999.941693884937,9999.979492973196,9999.990497886167,10000.05110201522,10000.063893947212,9999.973091448977,0.3666018926893783,0.3073908459079834,0.2961414813960783,0.210765200777176,10.190936682747996,124.77299432149417,1011.811802870088,1798.8011403802443
ntree_10_rep_5_simulate_ARG.log,10,9999.949301661778,10000.05378099932,10000.12670046137,10000.018005301856,9999.985371503537,10000.0296009293,9999.967028605626,10000.020064121045,0.3808014357489245,0.3008067944176975,0.3046871698816621,0.26272618266558206,10.432405492835628,96.66416462279373,959.4878471149458,1791.0619875880982
