file,NUM_TREES,N_aa,N_admix,N_afr,N_anc,N_asia,N_eur,N_ooa,N_pol,gr,r1,r2,r3,t1,t2,t3,t4
ntree_10_rep_1_simulate_ARG.log,10,9718.82447,40496.72618,11105.02563,2651.84053,14292.28002,16259.47434,4222.21686,8215.50479,0.03657,0.22342,0.28123,0.29279,24.77899,408.20155,410.98755,1051.84838
ntree_10_rep_2_simulate_ARG.log,10,3091.00929,39221.17851,9680.61692,2779.43256,10449.91229,10691.04752,3045.05962,19921.60102,0.03657,0.13007,0.26227,0.24016,25.22816,402.92701,995.00254,1034.20114
ntree_10_rep_3_simulate_ARG.log,10,3433.6528,40075.92694,10554.77435,2697.40912,13980.76117,9310.65006,1618.00335,17783.98051,0.03657,0.16585,0.19839,0.30546,25.22602,402.92701,1037.10724,1174.9255
ntree_10_rep_4_simulate_ARG.log,10,14462.31763,42179.9231,11853.93581,2715.43184,9428.71663,17971.03996,3781.08996,12154.01561,0.0385,0.23789,0.28608,0.24725,22.91664,407.85717,411.16553,1047.87907
ntree_10_rep_5_simulate_ARG.log,10,5577.08305,45786.77365,10485.99293,3016.38918,18246.6683,9645.66353,6197.11179,16321.53904,0.03657,0.07428,0.24731,0.3504,20.90145,402.92701,979.61529,1253.8995
ntree_15_rep_1_simulate_ARG.log,15,3845.34863,38573.07255,10449.40287,2779.43256,13758.52608,9378.61224,2044.25945,18307.44454,0.03489,0.19338,0.17828,0.27894,26.503,402.92701,1039.4428,1238.08561
ntree_15_rep_2_simulate_ARG.log,15,2990.94097,40496.72618,9890.89437,2575.21055,17304.07272,8774.70604,6924.15226,13017.3056,0.0299,0.16585,0.24819,0.30926,28.29618,402.92701,920.68573,1073.89872
ntree_15_rep_3_simulate_ARG.log,15,15228.73747,40496.72618,12907.09858,2880.53793,11987.29205,17153.08667,3851.81317,9949.33593,0.03383,0.23276,0.3251,0.1998,25.48288,394.66568,410.92602,1020.47657
ntree_15_rep_4_simulate_ARG.log,15,23271.50463,38573.07255,12822.84135,2642.12064,12605.75872,19327.24955,4049.27702,7087.45384,0.03489,0.24749,0.32993,0.22513,26.503,337.69478,410.03352,1043.57729
ntree_15_rep_5_simulate_ARG.log,15,3418.45831,40496.72618,9866.96025,2502.60344,13640.28212,9586.16014,4387.0921,16398.51385,0.03657,0.20127,0.22292,0.27507,24.25874,402.92701,1029.17256,1109.38504
ntree_1_rep_1_simulate_ARG.log,1,20188.43408,65879.63367,13958.60907,2280.7503,6997.36177,14272.90823,5137.29118,10915.81214,0.03529,0.28569,0.33133,0.13977,15.6298,115.58691,403.38365,2097.41043
ntree_1_rep_2_simulate_ARG.log,1,21214.64339,30878.45804,10295.50556,6204.53763,9011.28727,17129.63604,4289.60432,11234.23047,0.0759,0.22031,0.3168,0.22673,16.07595,325.30718,406.95414,1375.25747
ntree_1_rep_3_simulate_ARG.log,1,16224.77207,80470.57979,13995.75882,1559.06324,7193.35577,18815.993,4039.40383,8046.94079,0.23043,0.2498,0.42011,0.15655,3.89662,123.80553,412.17496,1045.54321
ntree_1_rep_4_simulate_ARG.log,1,13609.04074,38573.07255,11724.05832,1922.74324,11254.02178,14031.66331,1947.04648,8460.91827,0.04813,0.28803,0.33321,0.20705,22.67755,99.35869,1000.94144,1433.68151
ntree_1_rep_5_simulate_ARG.log,1,12207.22717,56213.80086,12510.56,7804.20383,9549.80787,22862.69454,3827.91314,11010.42305,0.09879,0.21744,0.38693,0.16533,7.91535,87.89383,412.48224,1155.60616
ntree_20_rep_1_simulate_ARG.log,20,2708.36779,39221.17851,11105.02563,2642.12064,15405.98521,9866.96025,1922.74325,13610.22639,0.03284,0.21603,0.2744,0.24677,27.21047,402.92701,1035.75949,1057.50463
ntree_20_rep_2_simulate_ARG.log,20,3310.29882,39221.17851,11338.88243,2567.53866,12313.725,9378.61224,3745.48648,18146.3132,0.03348,0.23869,0.20195,0.24677,26.503,402.92701,964.71426,1043.686
ntree_20_rep_3_simulate_ARG.log,20,3824.33556,40075.92694,10380.72949,2514.77879,15648.33762,9473.35862,1398.70457,16169.76385,0.03532,0.15596,0.20523,0.30926,25.42168,402.92701,1043.47685,1114.50163
ntree_20_rep_4_simulate_ARG.log,20,3310.29882,36649.41892,11346.62189,2642.12064,16449.03053,9042.87298,1641.73699,14254.73598,0.03128,0.19338,0.23056,0.29362,30.08936,402.92701,1037.02973,1054.61949
ntree_20_rep_5_simulate_ARG.log,20,3310.29883,62875.79877,11105.02563,2514.77879,13548.35786,9866.96025,1072.12973,16118.91879,0.02857,0.23169,0.17,0.28459,14.03509,400.11194,1046.98528,1131.53517
ntree_5_rep_1_simulate_ARG.log,5,10740.02871,82111.67384,13962.81885,2795.66699,9494.56077,18570.94623,3756.29629,10287.60729,0.00484,0.26564,0.29415,0.22239,11.94925,401.6339,410.5466,1025.07753
ntree_5_rep_2_simulate_ARG.log,5,18211.53225,80465.82232,11827.41973,2651.84053,10771.83601,19921.37172,3381.34394,9031.6932,0.00673,0.24023,0.30191,0.22489,12.75326,291.01835,411.6797,1032.01522
ntree_5_rep_3_simulate_ARG.log,5,20265.30951,45234.4526,13304.65084,2485.83529,8550.6965,19398.98311,3882.90714,10555.14048,0.04062,0.29181,0.3265,0.1903,20.71845,94.50539,408.08722,1034.37493
ntree_5_rep_4_simulate_ARG.log,5,3016.9097,76500.23738,11005.29258,2534.63814,10297.13479,10883.25206,1400.87949,19467.46859,0.0129,0.20454,0.24265,0.21921,12.86669,409.93746,1019.31558,1100.59243
ntree_5_rep_5_simulate_ARG.log,5,18664.403,55350.45102,12673.98536,2809.4741,10060.37054,20055.77656,4632.40811,8671.25988,0.03825,0.2744,0.33588,0.17017,15.93838,109.19239,402.80411,1021.60447
