file,NUM_TREES,N_ceu,N_nea,N_yri,m1,t1,t2,t3,t4
ntree_10_rep_10_simulate_ARG.log,10,2870.56972,3016.38918,5579.70695,0.01123,61.67948,69.00033,82.18004,180.61911
ntree_10_rep_11_simulate_ARG.log,10,3493.94791,2287.29188,5969.4625,0.00896,30.72921,64.54976,78.07752,132.53338
ntree_10_rep_12_simulate_ARG.log,10,3175.42465,2404.31199,6196.18043,0.00666,45.93362,76.90858,79.41485,162.16701
ntree_10_rep_13_simulate_ARG.log,10,3061.71552,2530.32431,5800.71546,0.00745,34.85461,43.78068,72.47603,158.48078
ntree_10_rep_14_simulate_ARG.log,10,3052.20628,2530.32431,5675.98937,0.00164,29.58205,38.58962,89.6117,246.93338
ntree_10_rep_15_simulate_ARG.log,10,3361.4451,2120.20709,6262.93563,0.00971,47.25015,55.7608,70.31464,261.36932
ntree_10_rep_16_simulate_ARG.log,10,3117.83912,2500.10564,5969.4625,0.00385,28.98043,69.12378,80.85129,146.86938
ntree_10_rep_17_simulate_ARG.log,10,3794.09296,2165.77567,5969.4625,0.00791,30.37945,68.87891,81.54404,126.04566
ntree_10_rep_18_simulate_ARG.log,10,2742.97769,3016.38918,5659.16626,0.01027,57.8216,76.97426,78.30168,147.61006
ntree_10_rep_19_simulate_ARG.log,10,3016.38918,3016.38918,5675.98937,0.00386,42.97064,72.95065,91.48672,166.17477
ntree_10_rep_1_simulate_ARG.log,10,2966.66722,3188.93271,5742.93793,0.01012,31.11194,46.13127,99.97765,132.77778
ntree_10_rep_20_simulate_ARG.log,10,3002.71862,3016.38918,5954.78885,0.0097,39.85757,59.87588,82.69667,133.06384
ntree_10_rep_2_simulate_ARG.log,10,3183.47398,2530.32431,5954.78885,0.00432,25.26421,51.98249,74.22004,132.45411
ntree_10_rep_3_simulate_ARG.log,10,3016.38918,3016.38918,5969.4625,0.00933,59.93581,76.90097,78.87613,163.25045
ntree_10_rep_4_simulate_ARG.log,10,3089.9065,2758.16721,6262.93563,0.00313,29.53479,72.33341,82.82645,135.37257
ntree_10_rep_5_simulate_ARG.log,10,3183.47398,2530.32431,5969.4625,0.00513,31.58371,78.82451,88.75735,128.14598
ntree_10_rep_6_simulate_ARG.log,10,3029.30028,2651.84053,5675.98937,0.0141,67.31435,73.40028,89.00488,207.69238
ntree_10_rep_7_simulate_ARG.log,10,3036.09075,2828.77478,6262.93563,0.00298,23.8369,66.52142,68.60131,122.43115
ntree_10_rep_8_simulate_ARG.log,10,2864.49392,3198.6635,5579.70695,0.00635,62.13542,79.04552,90.78276,182.29419
ntree_10_rep_9_simulate_ARG.log,10,3332.33135,2165.77567,5969.4625,0.00513,42.53345,71.95707,84.45357,180.50814
