file,NUM_TREES,N_aa,N_admix,N_afr,N_anc,N_asia,N_eur,N_ooa,N_pol,gr,r1,r2,r3,t1,t2,t3,t4
ntree_10_rep_1_simulate_ARG.log,10,3578.73577,45490.85999,10000,2530.65812,18366.1345,12222.00914,3327.1981,19463.14188,0.04035,0.0,0.2482,0.38577,19.81,411,999.115,2056.2172
ntree_10_rep_2_simulate_ARG.log,10,4132.12425,44643.4796,10000,2793.25,18366.1345,13985.96,2588.5,19578.39867,0.04681,0.0,0.25047,0.39496,18.955,411,1051.0075,2189.70695
ntree_10_rep_3_simulate_ARG.log,10,4132.12425,44121.51676,10000,2530.65812,23237.44856,14045.34075,3327.1981,15722.53492,0.04344,0.0,0.23795,0.37498,19.81,411,999.115,2056.2172
ntree_10_rep_4_simulate_ARG.log,10,3815.31449,42940.81167,10000,2793.25,20288.8855,11747.63793,2588.5,18112.225,0.03548,0.0,0.28094,0.35684,23.27974,411,1051.0075,2189.70695
ntree_10_rep_5_simulate_ARG.log,10,3391.53,45490.85999,10000,2793.25,20409.05744,14716.8,2588.5,16396.775,0.04035,0.0,0.25047,0.3674,19.81,411,1102.9,2168.45075
ntree_15_rep_1_simulate_ARG.log,15,3391.53,44379.90871,10000,2856.69367,18366.1345,13620.54,2588.5,18112.225,0.04025,0.0,0.30683,0.33985,20.845,411,1051.0075,2004
ntree_15_rep_2_simulate_ARG.log,15,3576.67856,42547.4635,10000,2856.69367,21803.05191,14716.8,2588.5,16356.03306,0.04173,0.0,0.27865,0.3674,20.82911,411,1035.43975,2004
ntree_15_rep_3_simulate_ARG.log,15,3206.38144,46593.90415,10000,2856.69367,21803.05191,13291.662,2511.475,14358.90844,0.04061,0.0,0.30683,0.3674,18.955,411,1062.015,2004
ntree_15_rep_4_simulate_ARG.log,15,3523.01231,44379.90871,10000,2856.69367,21424.51031,13620.54,2588.5,15581.93625,0.04025,0.0,0.29149,0.35684,20.845,411,1051.0075,2004
ntree_15_rep_5_simulate_ARG.log,15,4132.12425,44643.4796,10000,2856.69367,21490.60487,12493.15935,2588.5,17254.5,0.03844,0.0,0.25047,0.38577,20.79539,411,1051.0075,2004
ntree_1_rep_1_simulate_ARG.log,1,2627.1925,37461.1,11274.625,2498.275,22186.5025,14052.4,2233.0,12609.13938,0.06854,0.0,0.19231,0.42251,20.8,411,1154.7925,2019.25644
ntree_1_rep_2_simulate_ARG.log,1,3163.53557,38942.97477,11347.79219,2201.35968,22783.435,13688.74041,1344.20139,12869.70573,0.08804,0.0,0.32737,0.35475,15.79348,411,1071.11584,1745.05502
ntree_1_rep_3_simulate_ARG.log,1,3056.23791,40263.1825,10495.0,1692.46823,22783.435,15098.83,4119.00527,13199.28829,0.07039,0.0,0.24863,0.43796,21.37544,411,1154.7925,2233.70635
ntree_1_rep_4_simulate_ARG.log,1,2757.2925,40263.1825,10210.375,2310.98992,19701.77097,16909.32,2090.72223,19872.51063,0.0707,0.0,0.22496,0.34569,21.37544,411,1123.00834,2138.19814
ntree_1_rep_5_simulate_ARG.log,1,2832.1,37461.1,10000,2062.225,23977.3,14052.4,2552.95,14135.5,0.0741,0.0,0.2079,0.42251,20.8,411,1102.9,1913.89
ntree_20_rep_1_simulate_ARG.log,20,3750.51249,44279.50075,10000,2293.075,22122.63416,12632.0789,2700.4825,16743.08147,0.04393,0.0,0.27865,0.35623,19.40548,411,1035.43975,1846.75211
ntree_20_rep_2_simulate_ARG.log,20,3728.91182,45265.95611,10000,2293.075,23201.28775,12944.513,2700.4825,15345.8182,0.04502,0.0,0.27796,0.37498,18.71166,411,1035.43975,1846.75211
ntree_20_rep_3_simulate_ARG.log,20,3761.82713,46909.23294,10000,2293.075,21490.60487,13620.54,2576.65,17254.5,0.04624,0.0,0.25047,0.38577,17.43541,411,1068.305,1846.75211
ntree_20_rep_4_simulate_ARG.log,20,3578.73577,76758.68876,10000,2293.075,22888.20451,12860.00963,2700.4825,15928.24272,0.00943,0.0,0.26299,0.37691,12.68333,411,1035.43975,1846.75211
ntree_20_rep_5_simulate_ARG.log,20,3383.30118,74987.44683,10000,2293.075,22888.20451,13291.662,2700.4825,15581.93625,0.01273,0.0,0.25773,0.39373,12.57218,411,1035.43975,1846.75211
ntree_5_rep_1_simulate_ARG.log,5,3391.53,44379.90871,10000,3315.31968,23295.43716,14716.8,2351.5,15174.51688,0.04469,0.0,0.25047,0.42251,19.85275,411,1040,1659.75447
ntree_5_rep_2_simulate_ARG.log,5,4132.12425,45512.65056,10000,3315.31968,23851.63,13620.54,2351.5,15656.0125,0.04061,0.0,0.22229,0.42251,19.9,411,1040,1659.75447
ntree_5_rep_3_simulate_ARG.log,5,3576.67856,41290.61275,10000,3303.72508,18245.96256,12692.041,2656.50789,20615.70984,0.04589,0.0,0.30683,0.35053,20.845,411,1021.91625,1660.83268
ntree_5_rep_4_simulate_ARG.log,5,4132.12425,51824.46836,10000,3315.31968,21490.60487,13620.54,2351.5,17254.5,0.04115,0.0,0.22229,0.39496,16.8175,411,1040,1659.75447
ntree_5_rep_5_simulate_ARG.log,5,4132.12425,40885.12351,10000,3315.31968,21589.57,13620.54,2351.5,17658.84911,0.04681,0.0,0.2334,0.39874,20.845,411,1040,1659.75447
