file,NUM_TREES,N_ceu,N_nea,N_yri,m1,t1,t2,t3,t4
ntree_10_rep_10_simulate_ARG.log,10,2834.11486,3009.09821,5641.13945,0.0,10.45,47.92857,105.90567,255.32576
ntree_10_rep_11_simulate_ARG.log,10,2779.43256,3016.38918,5203.68107,1e-05,10.42638,40.83661,113.47859,264.39555
ntree_10_rep_12_simulate_ARG.log,10,2834.11486,3016.38918,5682.15117,0.0,10.45,46.03331,97.26495,255.32839
ntree_10_rep_13_simulate_ARG.log,10,3016.38918,3016.38918,5814.31438,1e-05,9.30419,29.81085,91.18088,175.76578
ntree_10_rep_14_simulate_ARG.log,10,2651.84053,3183.47398,5203.68107,1e-05,8.73846,48.78389,107.12888,256.76348
ntree_10_rep_15_simulate_ARG.log,10,2779.43256,3162.20864,5458.86512,0.0,11.07779,60.03967,99.58765,256.94375
ntree_10_rep_16_simulate_ARG.log,10,2891.07558,2742.97769,5568.22972,1e-05,10,39.07558,97.76449,256.76228
ntree_10_rep_17_simulate_ARG.log,10,2891.07558,2732.04123,5568.22972,0.0,10.45,46.1225,97.40097,255.30958
ntree_10_rep_18_simulate_ARG.log,10,2834.11486,3016.38918,5932.77837,0.0,8.21912,28.77023,90.97632,224.02361
ntree_10_rep_19_simulate_ARG.log,10,2834.11486,3016.38918,5203.68107,1e-05,10.42638,38.27074,105.52118,250.57836
ntree_10_rep_1_simulate_ARG.log,10,2870.56972,2870.56972,5641.13945,1e-05,8.88103,50,94.40807,256.75876
ntree_10_rep_20_simulate_ARG.log,10,2891.07558,2870.56972,5458.86512,1e-05,8.71638,59.52956,107.03458,282.61455
ntree_10_rep_2_simulate_ARG.log,10,2913.40419,3162.20864,5458.86512,1e-05,9.1225,49.89888,105.03196,233.37902
ntree_10_rep_3_simulate_ARG.log,10,2834.11486,3162.20864,5203.68107,1e-05,10.72464,33.3481,121.12263,288.68619
ntree_10_rep_4_simulate_ARG.log,10,2834.11486,3009.09821,5641.13945,1e-05,7.8081,80.2121,101.20272,253.65946
ntree_10_rep_5_simulate_ARG.log,10,2834.11486,2870.56972,5568.22972,0.0,10.23295,55.95591,96.18262,251.69972
ntree_10_rep_6_simulate_ARG.log,10,2779.43256,3016.38918,5203.68107,0.0,11.67107,48.26863,104.62026,256.82089
ntree_10_rep_7_simulate_ARG.log,10,3016.38918,2870.56972,5568.22972,1e-05,11.22527,49.9,90.81013,223.0954
ntree_10_rep_8_simulate_ARG.log,10,2651.84053,3332.33135,5203.68107,1e-05,9.55,33.58867,118.22475,275.01753
ntree_10_rep_9_simulate_ARG.log,10,2651.84053,3016.38918,5568.22972,1e-05,10.9225,40.66712,104.37165,256.76375
